incident_id,restaurant_name,location,city,state,date_reported,date_inspection,authority,finding,finding_categories,action_taken,samples_collected,closure_status,verification_status,source_name,source_type,source_url,evidence_excerpt,last_updated
FS-1FA0952020,Kolkata Municipal Corporation suspends FSSAI licences of 40 popular eateries over poor hygiene standards,,,,2026-09-08,,,Kolkata Municipal Corporation suspends FSSAI licences of 40 popular eateries over poor hygiene standards - theweek.in,Pest infestation; Water / ice safety; Poor hygiene / sanitation; Licensing / registration,,,,News report — corroboration recommended,theweek.in,Other,https://www.theweek.in/news/india/2026/09/08/kolkata-municipal-corporation-suspends-fssai-licences-of-40-popular-eateries-over-poor-hygiene-standards.html,"Access Denied Access Denied You don't have permission to access ""http://www.theweek.in/news/india/2026/09/08/kolkata-municipal-corporation-suspends-fssai-licences-of-40-popular-eateries-over-poor-hygiene-standards.html"" on this server. Reference #18.ee6ac917.1790327367.fa7def77 https://errors.edgesuite.net/18.ee6ac917.1790327367.fa7def77",2026-09-25
FS-AF9131FE63,Restaurants Are Being Maligned Before Trial: NRAI,,,,2026-09-08,,,Restaurants Are Being Maligned Before Trial: NRAI - ET HospitalityWorld,Pest infestation; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Food-handler hygiene; Licensing / registration; Storage / packaging,inspection,,,News report — corroboration recommended,ET HospitalityWorld,Other,https://hospitality.economictimes.indiatimes.com/news/restaurants/restaurants-are-being-maligned-before-trial-nrai/133861256,"Restaurants Are Being Maligned Before Trial: NRAI, ETHospitalityWorld Home News Exclusives Leaders Speak Events Awards Webinars Brand Solutions More Newsletters MasterClasses About Us Contact Us Advertise With Us Search Login Hotels Restaurants Operations Travel F&B Technology Sales & Mktg More People Movement Restaurants and Nightlife Awards 2026 ET HospitalityWorld proudly presents the fifth edition of the ET HospitalityWorld Restaurant and Nightlife Awards. As we reflect on our past ceremonies, which have recognized the exceptional individuals and milestones shaping the industry's trajector WhatsApp Channel Tune in to know the latest updates on the hospitality industry ETHospitality Newsl",2026-09-25
FS-5E67900078,"FSSAI seals one restaurant, serves notice to 12 for non-compliance in Coimbatore district",,,,2026-09-07,,,"FSSAI seals one restaurant, serves notice to 12 for non-compliance in Coimbatore district - The Hindu",Pest infestation; Water / ice safety; Equipment / premises; Licensing / registration,penalty; fine; inspection,,,News report — corroboration recommended,The Hindu,News,https://www.thehindu.com/news/cities/Coimbatore/fssai-seals-one-restaurant-serves-notice-to-12-for-non-compliance-in-coimbatore-district/article71439880.ece,"FSSAI seals one restaurant, serves notice to 12 for non-compliance in Coimbatore district - The Hindu You are logged in Loading... LOGOUT You don’t have any Active Subscription. Subscribe now Subscribed with another email? Logout and Login with that one. Your active subscription(s) Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription Products you've access to Additional Subscription Benefits eBooks Webinars Newsletters Games Monthly Digest Account Settings Go to My Account Bookmarks Manage Subscriptions Need help with your subscription? customersupport@thehindu.co.in 1800 102 1878 September 7, 2026 e-Paper LOGIN Account eBooks",2026-09-25
FS-454740FC16,Food safety department to begin three-month drive from September 1; FSSAI licenses to be inspected,,,,2026-08-30,,,Food safety department to begin three-month drive from September 1; FSSAI licenses to be inspected - The New Indian Express,Pest infestation; Temperature control; Water / ice safety; Equipment / premises; Food-handler hygiene; Licensing / registration,fine; inspection,,,News report — corroboration recommended,The New Indian Express,News,https://www.newindianexpress.com/states/tamil-nadu/2026/Aug/30/food-safety-department-to-begin-three-month-drive-from-september-1-fssai-licenses-to-be-inspected,Food safety department to begin three-month drive from September 1; FSSAI licenses to be inspected Subscribe E-PAPER INDIA WORLD STATES CITIES OPINION EXPLAINER BUSINESS SPORTS GOOD NEWS ENTERTAINMENT VIDEOS LIVE BLOG INDIA WORLD STATES CITIES OPINION EXPLAINER BUSINESS SPORTS GOOD NEWS ENTERTAINMENT VIDEOS LIVE BLOG Tamil Nadu Food safety department to begin three-month drive from September 1; FSSAI licenses to be inspected Officials have been asked to check whether kitchens and godowns are clean and whether pest control and water testing are done. Food safety department to begin three-month drive from September 1; FSSAI licenses to be inspected Photo | ANI Express News Service Updated on :,2026-09-25
FS-A6DBFED99F,Bengaluru firm under FSSAI scanner; 3.7 tonnes of expired infant food ordered destroyed,,,,2026-09-03,,,Bengaluru firm under FSSAI scanner; 3.7 tonnes of expired infant food ordered destroyed - The Times of India,Pest infestation; Expired food; Spoiled / stale food; Microbial / fungal contamination; Labelling / date-marking; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Waste / drainage; Licensing / registration,seized; seizure; destroyed; disposed; closed; fine; samples collected; inspection; raided; raid,,,News report — corroboration recommended,The Times of India,News,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-firm-under-fssai-scanner-3-7-tonnes-of-expired-infant-food-ordered-destroyed/articleshow/133731743.cms,Bengaluru firm under FSSAI scanner; 3.7 tonnes of expired infant food ordered destroyed | Bengaluru News - The Times of India Edition IN IN US GCC English English à¤¹à¤¿à¤¨à¥à¤¦à¥ à¤®à¤°à¤¾à¤ à¥ à²à²¨à³à²¨à²¡ à®¤à®®à®¿à®´à¯ à¦¬à¦¾à¦à¦²à¦¾ à´®à´²à´¯à´¾à´³à´ à°¤à±à°²à±à°à± àªà«àªàª°àª¾àª¤à« Weather Sign In TOI City bengaluru mumbai delhi Hyderabad kolkata chennai Crime News agra agartala ahmedabad ajmer amaravati amritsar bareilly bhubaneswar bhopal chandigarh chhatrapati sambhajinagar coimbatore cuttack dehradun erode faridabad ghaziabad goa gurgaon guwahati hubballi imphal indore itanagar jaipur jammu jamshedpur jodhpur kanpur kochi kohima kolhapur kozhikode ludhiana lucknow,2026-09-25
FS-21E7EA6ED1,"Health department forms 30 special teams to inspect hotels, restaurants, food outlets across Bengaluru",,,,2026-08-07,,,"Health department forms 30 special teams to inspect hotels, restaurants, food outlets across Bengaluru - The Hindu",Pest infestation; Expired food; Microbial / fungal contamination; Labelling / date-marking; Temperature control; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Storage / packaging,seized; destroyed; inspection,,,News report — corroboration recommended,The Hindu,News,https://www.thehindu.com/news/cities/bangalore/health-department-forms-30-special-teams-to-inspect-hotels-restaurants-food-outlets-across-bengaluru/article71317334.ece,"Health department forms 30 special teams to inspect hotels, restaurants, food outlets across Bengaluru - The Hindu You are logged in Loading... LOGOUT You don’t have any Active Subscription. Subscribe now Subscribed with another email? Logout and Login with that one. Your active subscription(s) Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription Products you've access to Additional Subscription Benefits eBooks Webinars Newsletters Games Monthly Digest Account Settings Go to My Account Bookmarks Manage Subscriptions Need help with your subscription? customersupport@thehindu.co.in 1800 102 1878 Weather News September 22, 2026 e",2026-09-25
FS-A19BBF8F61,Companies Test Their Own Food? How India’s Risk-Based FSSAI System Works,,,,2026-08-29,,,Companies Test Their Own Food? How India’s Risk-Based FSSAI System Works - Outlook India,Pest infestation; Expired food; Adulteration; Labelling / date-marking; Water / ice safety; Licensing / registration; Storage / packaging,prosecution; inspection,,,News report — corroboration recommended,Outlook India,Other,https://www.outlookindia.com/national/companies-test-their-own-food-how-indias-risk-based-fssai-system-works,Companies Test Their Own Food? How India’s Risk-Based FSSAI System Works | Outlook India Subscribe Delivery Within India Delivery Outside India Subscribe Delivery Within India Delivery Outside India BUSINESS MONEY TRAVELLER EATS RESPAWN LUXE BUSINESS MONEY TRAVELLER EATS RESPAWN LUXE ✕ ✕ National International Magazine Book Reviews Weekender Sports ▾ Cricket Football Badminton Tennis Entertainment Elections Others ▾ The India Drive Web Stories Brand Studio Sohini Sastri Astro N.E.W.S. NexaPost Hub4Business Tourism Spotlight Healthcare Spotlight Entertainment Spotlight OLB Spotlight Initiatives ABOUT US CONTACT US COPYRIGHT & DISCLAIMER Subscription Buy Latest Issue follow us Home National Co,2026-09-25
FS-A1321C4199,"Cockroaches, Expired Food, Rotten Fruit: How FSSAI is Putting India's Kitchens Under the Scanner",,,,2026-08-26,,,"Cockroaches, Expired Food, Rotten Fruit: How FSSAI is Putting India's Kitchens Under the Scanner - Open Magazine",Pest infestation; Expired food; Spoiled / stale food; Microbial / fungal contamination; Labelling / date-marking; Temperature control; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Waste / drainage; Equipment / premises; Licensing / registration; Storage / packaging,destroyed; closed; prosecution; inspection; raid,,,News report — corroboration recommended,Open Magazine,Other,https://openthemagazine.com/india/cockroaches-expired-food-rotten-fruit-how-fssai-is-putting-indias-kitchens-under-the-scanner,"FSSAI Crackdown on Hotel Kitchens: Cockroaches, Expired Food and Rotten Produce Exposed in Delhi’s Aerocity Logo Go Ad-Free Home India World Politics Sports Business Columns Entertainment Art & Culture Books Technology Open Avenues Archives Movies Cover Stories Features Health Digital Stories Logo Home India World Politics Entertainment Sports Logo Home India Cockroaches, Expired Food, Rotten Fruit: How FSSAI is Putting India's Kitchens Under the Scanner Cockroaches, Expired Food, Rotten Fruit: How FSSAI is Putting India's Kitchens Under the Scanner Open Bureau Last Updated: August 26, 2026, 22:00 IST Summarise Share Share Two luxury hotels in Delhi's Aerocity are under scrutiny after Food S",2026-09-25
FS-D9F79CD191,"Cockroaches, fungus, gutka packet: FSSAI notice to Delhi's JW Marriott, Andaz over massive food safety lapses | India News",,,,2026-08-26,,,"Cockroaches, fungus, gutka packet: FSSAI notice to Delhi's JW Marriott, Andaz over massive food safety lapses | India News - Hindustan Times",Pest infestation; Expired food; Spoiled / stale food; Microbial / fungal contamination; Labelling / date-marking; Temperature control; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Waste / drainage; Equipment / premises; Licensing / registration; Storage / packaging,inspection,,,News report — corroboration recommended,Hindustan Times,News,https://www.hindustantimes.com/india-news/cockroaches-fungus-gutka-packet-fssai-notice-to-delhis-jw-marriott-andaz-over-massive-food-safety-lapses-101787755881302.html,"Cockroaches, fungus, gutka packet: FSSAI notice to Delhi's JW Marriott, Andaz over massive food safety lapses | India News Wed, Sep 16, 2026 New Delhi 0 o C E-Paper Subscribe Subscribe Enjoy unlimited access Subscribe Now! Get features like Ad lite A Minimal Ad Experience HT Premium Articles Expertly crafted articles Quickreads Segment News brief in summary format HT E-paper Access digital news experience Subscribe Now Edit Profile Subscribe Now Saved Articles Following My Reads Sign out Get App Home HTLS 2025 Astrology India News Lifestyle Entertainment Elections Trending HT Cricket Videos Education Photos Sports Cities Daily Digest Quickreads Opinion Analysis For You Following Science HT G",2026-09-25
FS-2A2AB0F0C9,"Expired meat, filthy kitchens: FSSAI raids expose rot at 10 Bengaluru elite clubs",,,,2026-08-26,,,"Expired meat, filthy kitchens: FSSAI raids expose rot at 10 Bengaluru elite clubs - India Today",Pest infestation; Expired food; Spoiled / stale food; Labelling / date-marking; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Storage / packaging,seized; inspection; raid,,,News report — corroboration recommended,India Today,Other,https://www.indiatoday.in/cities/bengaluru/story/fssai-bengaluru-clubs-food-safety-raids-expired-meat-fish-hygiene-lapses-bowring-club-century-club-2980019-2026-08-26,"Expired meat, filthy kitchens: FSSAI raids expose rot at 10 Bengaluru elite clubs - Bangalore News | India Today India Today Aaj Tak India Today Hindi NewsTak GNTTV Lallantop Business Today Bangla Malayalam Northeast BT Bazaar Harper's Bazaar Sports Tak Astro Tak Gaming Brides Today Cosmopolitan Kisan Tak Reader’s Digest India Today Aaj Tak India Today Hindi NewsTak GNTTV Lallantop Business Today Bangla Malayalam Northeast Magazine Live TV Search SEARCH SIGN IN Edition IN IN US Home TV Live TV Primetime Magazine Latest Edition Insight Best Colleges India Today Hindi Jobs India Business All Business News Share Market IPO Personal Finance Companies Life+Style Puzzles South Global Sports All Sp",2026-09-25
FS-6E8117C81A,Exclusive: Four more law firms assisting FSSAI in its food safety action across India,,,,2026-08-12,,,Exclusive: Four more law firms assisting FSSAI in its food safety action across India - Bar and Bench,Pest infestation; Labelling / date-marking; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Licensing / registration; Storage / packaging,seizure; inspection; raid,,,News report — corroboration recommended,Bar and Bench,Other,https://www.barandbench.com/news/exclusive-the-four-law-firms-assisting-fssai-in-its-food-safety-action-across-india,"Exclusive: The four law firms assisting FSSAI in its food safety action across India Subscribe Latest Legal News News Law Firms Columns Interviews Law School Legal Jobs हिंदी ಕನ್ನಡ Subscribe Latest Legal News News Law Firms Columns Interviews Law School Legal Jobs हिंदी ಕನ್ನಡ News Exclusive: Four more law firms assisting FSSAI in its food safety action across India The regulator will now have eight law firms on its panel to handle litigation and advisory work. FSSAI Raid https://www.instagram.com/p/DbTe6G1oEBz/?img_index=2&igsh=MWkwczFmdXNxbnRzcA%3D%3D S N Thyagarajan Published on : 12 Aug 2026, 1:28 pm 2 min read Copied Follow Us Listen to this article The Food Safety and Standards Authorit",2026-09-25
FS-226293C73A,"KMC Food Inspectors Knock on Mall Eatery Doors, Discards Meat in a Central Kolkata restaurant",,,,2026-09-06,,,"KMC Food Inspectors Knock on Mall Eatery Doors, Discards Meat in a Central Kolkata restaurant - The Times of India",Pest infestation; Labelling / date-marking; Temperature control; Water / ice safety; Poor hygiene / sanitation; Waste / drainage; Equipment / premises; Licensing / registration; Storage / packaging,penalty; inspection,,,News report — corroboration recommended,The Times of India,News,https://timesofindia.indiatimes.com/city/kolkata/kmc-food-inspectors-knock-on-mall-eatery-doors-discards-meat-in-a-central-kolkata-restaurant/articleshow/133844089.cms,"KMC Food Inspectors Knock on Mall Eatery Doors, Discards Meat in a Central Kolkata restaurant | Kolkata News - The Times of India Edition IN IN US GCC English English à¤¹à¤¿à¤¨à¥à¤¦à¥ à¤®à¤°à¤¾à¤ à¥ à²à²¨à³à²¨à²¡ à®¤à®®à®¿à®´à¯ à¦¬à¦¾à¦à¦²à¦¾ à´®à´²à´¯à´¾à´³à´ à°¤à±à°²à±à°à± àªà«àªàª°àª¾àª¤à« Weather Sign In TOI City kolkata mumbai delhi bengaluru Hyderabad chennai Crime News agra agartala ahmedabad ajmer amaravati amritsar bareilly bhubaneswar bhopal chandigarh chhatrapati sambhajinagar coimbatore cuttack dehradun erode faridabad ghaziabad goa gurgaon guwahati hubballi imphal indore itanagar jaipur jammu jamshedpur jodhpur kanpur kochi kohima kolhapur kozhikode ludhiana luck",2026-09-25
FS-BB49DE5561,"Rat in Blinkit freezer, spoiled KFC chicken: Food safety crackdown intensifies across India",,,,2026-08-16,,,"Rat in Blinkit freezer, spoiled KFC chicken: Food safety crackdown intensifies across India - pragativadi.com",Pest infestation; Expired food; Spoiled / stale food; Microbial / fungal contamination; Labelling / date-marking; Cross-contamination / segregation; Water / ice safety; Poor hygiene / sanitation; Equipment / premises; Licensing / registration; Storage / packaging,seized; seizure; samples collected; inspection; raid,,,News report — corroboration recommended,pragativadi.com,Other,https://pragativadi.com/rat-in-blinkit-freezer-spoiled-kfc-chicken-food-safety-crackdown-intensifies-across-india/,"Rat in Blinkit freezer, spoiled KFC chicken: Food safety crackdown intensifies across India - Pragativadi I Latest Odisha News in English I Breaking News About us Privacy Policy Disclaimer Contact Friday, September 25, 2026 EPAPER Odisha Twin City Politics National World Sports Entertainment Business Lifestyle Tech Quiz Prativa Vikash 2026 No Result View All Result EPAPER Odisha Twin City Politics National World Sports Entertainment Business Lifestyle Tech Quiz Prativa Vikash 2026 No Result View All Result No Result View All Result Home » Rat in Blinkit freezer, spoiled KFC chicken: Food safety crackdown intensifies across India Rat in Blinkit freezer, spoiled KFC chicken: Food safety crackd",2026-09-25
FS-1772436567,From restaurant raids to warning labels: India's food safety crackdown intensifies,,,,2026-09-08,,,From restaurant raids to warning labels: India's food safety crackdown intensifies - India Today,Pest infestation; Expired food; Adulteration; Labelling / date-marking; Water / ice safety; Poor hygiene / sanitation; Licensing / registration,closure; inspection; raided; raid,,,News report — corroboration recommended,India Today,Other,https://www.indiatoday.in/business/story/from-restaurant-raids-to-warning-labels-indias-food-safety-crackdown-intensifies-2989783-2026-09-08,From restaurant raids to warning labels: India’s food safety crackdown intensifies - India Today India Today Aaj Tak India Today Hindi NewsTak GNTTV Lallantop Business Today Bangla Malayalam Northeast BT Bazaar Harper's Bazaar Sports Tak Astro Tak Gaming Brides Today Cosmopolitan Kisan Tak Reader’s Digest India Today Aaj Tak India Today Hindi NewsTak GNTTV Lallantop Business Today Bangla Malayalam Northeast Magazine Live TV Search SEARCH SIGN IN Edition IN IN US Home TV Live TV Primetime Magazine Latest Edition Insight Best Colleges India Today Hindi Jobs India Business All Business News Share Market IPO Personal Finance Companies Life+Style Puzzles South Global Sports All Sports Asian Games,2026-09-25
